[2026-08-15 08:25:30,037] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447004K) : activ_noqrc has 0 polygons
[2026-08-15 08:25:30,038] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447004K) : biwind_drw has 0 polygons
[2026-08-15 08:25:30,038] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447004K) : biwind_OPC has 0 polygons
[2026-08-15 08:25:30,039] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447004K) : gatpoly_drw has 40 polygons
[2026-08-15 08:25:30,040] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447004K) : gatpoly_filler has 0 polygons
[2026-08-15 08:25:30,041] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447004K) : gatpoly has 40 polygons
[2026-08-15 08:25:30,041] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447004K) : gatpoly_pin has 0 polygons
[2026-08-15 08:25:30,042] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447004K) : gatpoly_nofill has 0 polygons
[2026-08-15 08:25:30,042] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447132K) : gatpoly_OPC has 0 polygons
[2026-08-15 08:25:30,043] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447132K) : gatpoly_iOPC has 0 polygons
[2026-08-15 08:25:30,043] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447132K) : gatpoly_noqrc has 0 polygons
[2026-08-15 08:25:30,044] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447260K) : cont_drw has 640 polygons
[2026-08-15 08:25:30,045] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447260K) : cont_OPC has 0 polygons
[2026-08-15 08:25:30,045] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447260K) : nsd_drw has 0 polygons
[2026-08-15 08:25:30,046] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447260K) : nsd_block has 0 polygons
[2026-08-15 08:25:30,046] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447388K) : metal1_drw has 137 polygons
[2026-08-15 08:25:30,047] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447388K) : metal1_filler has 0 polygons
[2026-08-15 08:25:30,047] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447516K) : metal1_slit has 0 polygons
[2026-08-15 08:25:30,048] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447644K) : metal1 has 137 polygons
[2026-08-15 08:25:30,048] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (447772K) : metal1_pin has 90 polygons
[2026-08-15 08:25:30,049] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448284K) : metal1_mask has 0 polygons
[2026-08-15 08:25:30,049] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448284K) : metal1_nofill has 0 polygons
[2026-08-15 08:25:30,050] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448540K) : metal1_text has 2 polygons
[2026-08-15 08:25:30,051] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448540K) : metal1_OPC has 0 polygons
[2026-08-15 08:25:30,051] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448668K) : metal1_noqrc has 0 polygons
[2026-08-15 08:25:30,052] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448668K) : metal1_res has 0 polygons
[2026-08-15 08:25:30,052] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448668K) : metal1_iprobe has 0 polygons
[2026-08-15 08:25:30,053] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448668K) : metal1_diffprb has 0 polygons
[2026-08-15 08:25:30,054] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448668K) : passiv_drw has 0 polygons
[2026-08-15 08:25:30,054] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448796K) : passiv_pin has 0 polygons
[2026-08-15 08:25:30,055] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448924K) : passiv_sbump has 0 polygons
[2026-08-15 08:25:30,055] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (448924K) : passiv_pillar has 0 polygons
[2026-08-15 08:25:30,056] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449052K) : passiv_pdl has 0 polygons
[2026-08-15 08:25:30,057] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449052K) : metal2_drw has 133 polygons
[2026-08-15 08:25:30,057] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449180K) : metal2_filler has 0 polygons
[2026-08-15 08:25:30,058] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449180K) : metal2_slit has 0 polygons
[2026-08-15 08:25:30,059] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449308K) : metal2 has 133 polygons
[2026-08-15 08:25:30,059] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449436K) : metal2_pin has 2 polygons
[2026-08-15 08:25:30,060] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449564K) : metal2_mask has 0 polygons
[2026-08-15 08:25:30,060] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449564K) : metal2_nofill has 0 polygons
[2026-08-15 08:25:30,061] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449692K) : metal2_text has 2 polygons
[2026-08-15 08:25:30,061] [SUBPROCESS]    2026-08-15 08:25:29 +0200: Memory Usage (449692K) : metal2_OPC has 0 polygons
