16-Aug-2026 09:01:32 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
16-Aug-2026 09:01:32 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
16-Aug-2026 09:01:32 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sar-adc/layout/oa_sar8_acore13.gds, topcell: oa_sar8_acore13
2026-08-16 09:01:41 +0200: Memory Usage (447412K) : metal1_diffprb has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447412K) : passiv_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447412K) : passiv_pin has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447412K) : passiv_sbump has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447412K) : passiv_pillar has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447412K) : passiv_pdl has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447540K) : metal2_drw has 2068 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447668K) : metal2_pin has 2 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447668K) : metal2_mask has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447668K) : metal2_filler has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447668K) : metal2_nofill has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447796K) : metal2_slit has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447796K) : metal2_text has 2 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447796K) : metal2_opc has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : metal2_noqrc has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : metal2_res has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : metal2_iprobe has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : metal2_diffprb has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : baspoly_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : baspoly_pin has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : psd_drw has 109 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : nldb_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : digibnd_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : via1_drw has 1251 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_drw has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_pin has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_mask has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_filler has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_nofill has 0 polygons
2026-08-16 09:01:41 +0200: Memory Usage (447924K) : backmetal1_slit has 0 polygons
