15-Aug-2026 23:21:57 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
15-Aug-2026 23:21:57 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
15-Aug-2026 23:21:57 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sar-adc/layout/sw/sw_bitcell11.gds, topcell: sw_bitcell11
2026-08-15 23:21:59 +0200: Memory Usage (446308K) : gatpoly_drw has 16 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446308K) : gatpoly_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446308K) : gatpoly_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446308K) : gatpoly_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446436K) : gatpoly_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446436K) : gatpoly_iopc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446436K) : gatpoly_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446436K) : cont_drw has 222 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446564K) : cont_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446564K) : nsd_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446564K) : nsd_block has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446564K) : metal1_drw has 57 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446564K) : metal1_pin has 35 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446564K) : metal1_mask has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446692K) : metal1_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446692K) : metal1_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (446820K) : metal1_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447076K) : metal1_text has 3 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447204K) : metal1_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447204K) : metal1_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447332K) : metal1_res has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447332K) : metal1_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447460K) : metal1_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447460K) : passiv_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447460K) : passiv_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447588K) : passiv_sbump has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447588K) : passiv_pillar has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447588K) : passiv_pdl has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447588K) : metal2_drw has 67 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447716K) : metal2_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447716K) : metal2_mask has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447716K) : metal2_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447716K) : metal2_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447716K) : metal2_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447716K) : metal2_text has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447844K) : metal2_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447844K) : metal2_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447844K) : metal2_res has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447844K) : metal2_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447972K) : metal2_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447972K) : baspoly_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (447972K) : baspoly_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448100K) : psd_drw has 4 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448100K) : nldb_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448100K) : digibnd_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448228K) : via1_drw has 46 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448228K) : backmetal1_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448356K) : backmetal1_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448356K) : backmetal1_mask has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448484K) : backmetal1_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448484K) : backmetal1_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448484K) : backmetal1_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448612K) : backmetal1_text has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448612K) : backmetal1_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448740K) : backmetal1_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448868K) : backmetal1_res has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448868K) : backmetal1_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448996K) : backmetal1_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (448996K) : backpassiv_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449124K) : res_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449124K) : sram_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449252K) : trans_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449252K) : ind_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449380K) : ind_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449380K) : ind_text has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449380K) : salblock_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449380K) : via2_drw has 18 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449380K) : metal3_drw has 28 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449508K) : metal3_pin has 5 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449508K) : metal3_mask has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449636K) : metal3_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449636K) : metal3_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449764K) : metal3_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449764K) : metal3_text has 5 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449764K) : metal3_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (449892K) : metal3_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450020K) : metal3_res has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450020K) : metal3_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450148K) : metal3_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450148K) : nwell_drw has 2 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450148K) : nwell_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450148K) : nbulay_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450276K) : nbulay_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450276K) : nbulay_block has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450276K) : emwind_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450404K) : emwind_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450404K) : deepco_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450404K) : deepco_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450404K) : mim_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450532K) : edgeseal_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450532K) : edgeseal_bound has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450532K) : substrate_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450660K) : substrate_text has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450660K) : dfpad_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450660K) : dfpad_pillar has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450788K) : dfpad_sbump has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450788K) : thickgateox_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450788K) : pldb_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450916K) : pwell_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (450916K) : pwell_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451044K) : pwell_block has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451044K) : ic_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451044K) : via3_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451172K) : metal4_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451172K) : metal4_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451300K) : metal4_mask has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451300K) : metal4_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451428K) : metal4_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451428K) : metal4_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451428K) : metal4_text has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451556K) : metal4_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451556K) : metal4_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451684K) : metal4_res has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451684K) : metal4_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451812K) : metal4_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451812K) : heattrans_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451812K) : heatres_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451940K) : pempoly_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (451940K) : fbe_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452068K) : empoly_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452068K) : ldmos_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452196K) : pbiwind_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452196K) : digisub_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452196K) : nodrc_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452324K) : text_drw has 20 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452324K) : via4_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452324K) : metal5_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452324K) : metal5_pin has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452452K) : metal5_mask has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452452K) : metal5_filler has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452452K) : metal5_nofill has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452580K) : metal5_slit has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452580K) : metal5_text has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452708K) : metal5_opc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452708K) : metal5_noqrc has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452708K) : metal5_res has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452836K) : metal5_iprobe has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452836K) : metal5_diffprb has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452964K) : radhard_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (452964K) : memcap_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453092K) : varicap_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453092K) : flash_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453092K) : intbondvia_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453220K) : intbondmet_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453220K) : devbondvia_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453348K) : devbondmet_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453348K) : devtrench_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453348K) : redist_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453476K) : graphbot_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453476K) : graphtop_drw has 0 polygons
2026-08-15 23:21:59 +0200: Memory Usage (453604K) : antvia1_drw has 0 polygons
